Column1;Name;geometry;latitude;longitude;Description;X5th.tree;X10th.tree;Den.N;Den.E;Den.S;Den.W;Species.1;Species.2;Species.3;Soil;Avr.Den;Tree.density.5;Tree.density.10
19;PF25;"{""type"":""Point"",""coordinates"":[-122.91453,50.035647,1845.69]}";50.035647;-122.91453;PF25;1;1,7;15;2;23;16;Sub Alpine Fir;;;;85,41666667;1,432394488;1,046347377
20;PF26;"{""type"":""Point"",""coordinates"":[-122.898239,50.028984,1807.41]}";50.028984;-122.898239;PF26;2,2;3,1;8;4;6;2;Sub Alpine Fir;;;;94,79166667;0,295949274;0,314666381
21;PF27;"{""type"":""Point"",""coordinates"":[-122.888368,50.027548,1738.42]}";50.027548;-122.888368;PF27;1,7;2,6;24;31;39;21;Sub Alpine Fir;;;;70,05208333;0,495638231;0,447328982
22;PF28;"{""type"":""Point"",""coordinates"":[-122.857321,50.02849,1731.2]}";50.02849;-122.857321;PF28;5,7;7,9;96;94;39;84;Sub Alpine Fir;;;Header;18,48958333;0,044087242;0,048452875
23;PF32;"{""type"":""Point"",""coordinates"":[-123.007229,49.768299,1534.74]}";49.768299;-123.007229;PF32;4,3;6,6;74;25;18;9;Mountain Hemlock;Fir;;Header;67,1875;0,077468604;0,0694202
24;PF33;"{""type"":""Point"",""coordinates"":[-122.989151,49.781179,1486.58]}";49.781179;-122.989151;PF33;4,3;5,9;95;89;96;87;Mountain Hemlock;;;Header;4,427083333;0,077468604;0,086869978
25;PF34;"{""type"":""Point"",""coordinates"":[-122.975522,49.818614,1523.38]}";49.818614;-122.975522;PF34;3;3,5;23;71;24;21;Mountain Hemlock;;;Header;63,80208333;0,159154943;0,246852565
26;PF35;"{""type"":""Point"",""coordinates"":[-122.859126,50.025303,1844.89]}";50.025303;-122.859126;PF35;2,1;2,6;68;9;46;31;Sub Alpine Fir;;;;59,89583333;0,324806006;0,447328982
27;PF39;"{""type"":""Point"",""coordinates"":[-122.933877,50.040305,1887.99]}";50.040305;-122.933877;PF39;8,8;10,3;94;84;96;96;Sub Alpine Fir;WWP;;Header;3,645833333;0,01849683;0,028503572
28;PGL10;"{""type"":""Point"",""coordinates"":[-122.986563,49.785917,1480.72]}";49.785917;-122.986563;PGL10;30;80;96;96;96;96;Mountain Hemlock;;;Header;0;0,001591549;0,000472491
29;PGL15;"{""type"":""Point"",""coordinates"":[-122.992798,49.7949,1446.69]}";49.7949;-122.992798;PGL15;26,6;30;96;96;96;96;Mountain Hemlock;Yellow Cedar;;Header;0;0,002024414;0,003359938
30;PGL16;"{""type"":""Point"",""coordinates"":[-122.94351,49.814903,1504.69]}";49.814903;-122.94351;PGL16;20;20;96;96;96;96;;;;Header;0;0,003580986;0,00755986
31;PGL22;"{""type"":""Point"",""coordinates"":[-122.913169,50.036566,1850.65]}";50.036566;-122.913169;PGL22;9,1;11,7;95;96;96;96;Sub Alpine Fir;White Bark Pine;;Header;0,260416667;0,017297361;0,02209032
32;PGL23;"{""type"":""Point"",""coordinates"":[-122.898389,50.029896,1834.34]}";50.029896;-122.898389;PGL23;21;23;96;96;96;96;;;;Grass Flower;0;0,00324806;0,00571634
33;PGL27;"{""type"":""Point"",""coordinates"":[-122.889029,50.027822,1746.35]}";50.027822;-122.889029;PGL27;8,4;12;96;96;96;96;Sub Alpine Fir;Mountain Hemlock;;Header;0;0,020300375;0,020999611
